Town,sq_mtrs,Bedrooms,Bathrooms,Price
Dagoretti,0.0,0.0,1.0,30000.0
Dagoretti,3.0,3.0,2.0,100000.0
Dagoretti,300.0,3.0,4.0,100000.0
Dagoretti,14.0,2.0,2.0,100000.0
Dagoretti,3.0,3.0,3.0,100000.0
Dagoretti,170.0,3.0,4.0,100000.0
Dagoretti,125.0,3.0,2.0,70000.0
Dagoretti,3.0,3.0,3.0,95000.0
Dagoretti,3.0,3.0,3.0,95000.0
Dagoretti,3.0,3.0,3.0,98000.0
Dagoretti,3.0,3.0,4.0,95000.0
Dagoretti,3.0,3.0,3.0,95000.0
Dagoretti,2.0,2.0,2.0,70000.0
Dagoretti,3.0,3.0,3.0,95000.0
Dagoretti,95.0,2.0,2.0,95000.0
Dagoretti,108.0,2.0,2.0,95000.0
Dagoretti,90.0,1.0,1.0,70000.0
Dagoretti,3.0,3.0,3.0,95000.0
Dagoretti,140.0,2.0,2.0,70000.0
Dagoretti,3.0,3.0,4.0,95000.0
Dagoretti,170.0,3.0,3.0,95000.0
Dagoretti,15.0,3.0,3.0,70000.0
Dagoretti,3.0,3.0,4.0,98000.0
Dagoretti,2.0,2.0,3.0,70000.0
Dagoretti,2.0,2.0,2.0,70000.0
Dagoretti,3.0,3.0,2.0,75000.0
Dagoretti,2.0,2.0,2.0,75000.0
Dagoretti,3.0,3.0,3.0,55000.0
Dagoretti,0.0,0.0,1.0,35000.0
Dagoretti,3.0,3.0,3.0,75000.0
Dagoretti,156.0,3.0,3.0,95000.0
Dagoretti,3.0,3.0,2.0,75000.0
Dagoretti,3.0,3.0,3.0,100000.0
Dagoretti,250.0,3.0,3.0,90000.0
Dagoretti,149.0,2.0,2.0,95000.0
Dagoretti,4.0,4.0,4.0,95000.0
Dagoretti,2.0,2.0,2.0,95000.0
Dagoretti,3.0,3.0,2.0,95000.0
Dagoretti,3.0,3.0,2.0,95000.0
Dagoretti,3.0,3.0,5.0,75000.0
Dagoretti,3.0,3.0,2.0,95000.0
Dagoretti,3.0,3.0,3.0,95000.0
Dagoretti,2.0,2.0,2.0,70000.0
Dagoretti,2.0,2.0,2.0,70000.0
Dagoretti,4.0,4.0,2.0,96000.0
Dagoretti,150.0,3.0,3.0,98000.0
Dagoretti,2.0,2.0,2.0,55000.0
Dagoretti,3.0,3.0,3.0,98000.0
Dagoretti,4047.0,3.0,3.0,95000.0
Dagoretti,3.0,3.0,3.0,70000.0
Dagoretti,3.0,3.0,3.0,95000.0
Dagoretti,3.0,3.0,3.0,70000.0
Dagoretti,3.0,3.0,3.0,90000.0
Dagoretti,2.0,2.0,2.0,75000.0
Dagoretti,3.0,3.0,2.0,90000.0
Dagoretti,1.0,1.0,1.0,40000.0
Dagoretti,2.0,2.0,2.0,75000.0
Dagoretti,3.0,3.0,3.0,75000.0
Dagoretti,3.0,3.0,4.0,90000.0
Dagoretti,250.0,3.0,3.0,90000.0
Dagoretti,2.0,2.0,1.0,75000.0
Dagoretti,232.0,3.0,2.0,90000.0
Dagoretti,2.0,2.0,2.0,75000.0
Dagoretti,3.0,3.0,3.0,75000.0
Dagoretti,3.0,3.0,2.0,95000.0
Dagoretti,3.0,3.0,2.0,55000.0
Dagoretti,2.0,2.0,2.0,40000.0
Dagoretti,110.0,2.0,2.0,90000.0
Dagoretti,3.0,3.0,3.0,75000.0
Dagoretti,3.0,3.0,2.0,75000.0
Dagoretti,3.0,3.0,3.0,75000.0
Dagoretti,1250.0,2.0,2.0,75000.0
Dagoretti,3.0,3.0,3.0,90000.0
Dagoretti,1250.0,2.0,2.0,75000.0
Dagoretti,3.0,3.0,3.0,75000.0
Dagoretti,1.0,1.0,1.0,55000.0
Dagoretti,1.0,1.0,2.0,55000.0
Dagoretti,1.0,1.0,1.0,40000.0
Dagoretti,4.0,4.0,3.0,75000.0
Dagoretti,3.0,3.0,3.0,95000.0
Dagoretti,3.0,3.0,3.0,95000.0
Dagoretti,3.0,3.0,2.0,70000.0
Dagoretti,4.0,4.0,5.0,95000.0
Dagoretti,3.0,3.0,3.0,75000.0
Dagoretti,2.0,2.0,3.0,75000.0
Dagoretti,3.0,3.0,5.0,75000.0
Dagoretti,3.0,3.0,2.0,75000.0
Dagoretti,250.0,3.0,3.0,90000.0
Dagoretti,3.0,3.0,3.0,90000.0
Dagoretti,3.0,3.0,2.0,90000.0
Dagoretti,3.0,3.0,2.0,90000.0
Dagoretti,2.0,2.0,2.0,75000.0
Dagoretti,3.0,3.0,2.0,90000.0
Dagoretti,2.0,2.0,3.0,75000.0
Dagoretti,2.0,2.0,2.0,75000.0
Dagoretti,3.0,3.0,3.0,75000.0
Dagoretti,2.0,2.0,2.0,40000.0
Dagoretti,3.0,3.0,2.0,75000.0
Dagoretti,3.0,3.0,3.0,75000.0
Dagoretti,2.0,2.0,2.0,55000.0
Dagoretti,3.0,3.0,3.0,75000.0
Dagoretti,2.0,2.0,3.0,90000.0
Dagoretti,85.0,2.0,3.0,80000.0
Dagoretti,3.0,3.0,4.0,95000.0
Dagoretti,3.0,3.0,2.0,102000.0
Dagoretti,2.0,2.0,2.0,95000.0
Dagoretti,3.0,3.0,3.0,80000.0
Dagoretti,3.0,3.0,3.0,80000.0
Dagoretti,120.0,2.0,2.0,80000.0
Dagoretti,120.0,2.0,2.0,80000.0
Dagoretti,4.0,4.0,4.0,80000.0
Dagoretti,2.0,2.0,3.0,80000.0
Dagoretti,3.0,3.0,2.0,80000.0
Dagoretti,3.0,3.0,2.0,80000.0
Dagoretti,3.0,3.0,4.0,80000.0
Dagoretti,3.0,3.0,4.0,80000.0
Dagoretti,3.0,3.0,3.0,80000.0
Dagoretti,114.0,2.0,2.0,80000.0
Dagoretti,2.0,2.0,2.0,80000.0
Dagoretti,2.0,2.0,2.0,80000.0
Dagoretti,1.0,1.0,1.0,85000.0
Dagoretti,2.0,2.0,2.0,85000.0
Dagoretti,2.0,2.0,2.0,90000.0
Dagoretti,130.0,2.0,3.0,90000.0
Dagoretti,110.0,2.0,2.0,90000.0
Dagoretti,232.0,3.0,2.0,90000.0
Dagoretti,250.0,3.0,3.0,90000.0
Dagoretti,3.0,3.0,4.0,90000.0
Dagoretti,2.0,2.0,2.0,80000.0
Dagoretti,3.0,3.0,4.0,83000.0
Dagoretti,3.0,3.0,2.0,80000.0
Dagoretti,2.0,2.0,2.0,80000.0
Dagoretti,3.0,3.0,3.0,85000.0
Dagoretti,130.0,3.0,4.0,85000.0
Dagoretti,2.0,2.0,3.0,85000.0
Dagoretti,2.0,2.0,3.0,85000.0
Dagoretti,3.0,3.0,3.0,85000.0
Dagoretti,1.0,1.0,1.0,85000.0
Dagoretti,3.0,3.0,2.0,85000.0
Dagoretti,3.0,3.0,5.0,85000.0
Dagoretti,2.0,2.0,2.0,80000.0
Dagoretti,2.0,2.0,2.0,80000.0
Dagoretti,2024.0,3.0,2.0,80000.0
Dagoretti,3.0,3.0,2.0,80000.0
Dagoretti,220.0,3.0,3.0,80000.0
Dagoretti,130.0,2.0,2.0,80000.0
Dagoretti,2.0,2.0,2.0,80000.0
Dagoretti,1.0,1.0,1.0,80000.0
Dagoretti,2.0,2.0,2.0,80000.0
Dagoretti,1.0,1.0,2.0,80000.0
Dagoretti,4.0,4.0,3.0,110000.0
Dagoretti,85.0,2.0,3.0,80000.0
Dagoretti,3.0,3.0,3.0,80000.0
Dagoretti,15.0,3.0,3.0,80000.0
Dagoretti,13.0,2.0,3.0,80000.0
Dagoretti,3.0,3.0,2.0,90000.0
Dagoretti,3.0,3.0,2.0,90000.0
Dagoretti,1.0,1.0,1.0,90000.0
Dagoretti,3.0,3.0,2.0,90000.0
Dagoretti,2.0,2.0,2.0,85000.0
Dagoretti,3.0,3.0,3.0,85000.0
Dagoretti,2024.0,3.0,3.0,85000.0
Dagoretti,2.0,2.0,2.0,85000.0
Dagoretti,3.0,3.0,4.0,85000.0
Dagoretti,3.0,3.0,2.0,85000.0
Dagoretti,2.0,2.0,2.0,85000.0
Dagoretti,3.0,3.0,2.0,86000.0
Dagoretti,2.0,2.0,3.0,85000.0
Dagoretti,2.0,2.0,2.0,85000.0
Dagoretti,2.0,2.0,3.0,85000.0
Dagoretti,2.0,2.0,2.0,85000.0
Dagoretti,23.0,3.0,4.0,85000.0
Dagoretti,3.0,3.0,3.0,85000.0
Dagoretti,3.0,3.0,3.0,85000.0
Dagoretti,3.0,3.0,3.0,86000.0
Dagoretti,3.0,3.0,3.0,90000.0
Dagoretti,3.0,3.0,2.0,90000.0
Dagoretti,1400.0,2.0,3.0,90000.0
Dagoretti,2.0,2.0,2.0,90000.0
Dagoretti,2.0,2.0,2.0,90000.0
Dagoretti,3.0,3.0,3.0,90000.0
Dagoretti,3.0,3.0,3.0,90000.0
Dagoretti,125.0,3.0,2.0,85000.0
Dagoretti,186.0,3.0,3.0,85000.0
Dagoretti,3.0,3.0,3.0,85000.0
Dagoretti,3.0,3.0,4.0,90000.0
Dagoretti,105.0,2.0,2.0,90000.0
Dagoretti,200.0,3.0,3.0,90000.0
Dagoretti,3.0,3.0,3.0,90000.0
Dagoretti,2.0,2.0,2.0,90000.0
Dagoretti,3.0,3.0,4.0,90000.0
Dagoretti,3.0,3.0,3.0,90000.0
Dagoretti,3.0,3.0,3.0,90000.0
Dagoretti,3.0,3.0,3.0,90000.0
Dagoretti,3.0,3.0,5.0,90000.0
Dagoretti,3.0,3.0,3.0,90000.0
Dagoretti,2.0,2.0,2.0,90000.0
Dagoretti,94.0,2.0,3.0,90000.0
Dagoretti,2.0,2.0,2.0,90000.0
Dagoretti,3.0,3.0,3.0,90000.0
Dagoretti,3.0,3.0,3.0,90000.0
Dagoretti,3.0,3.0,3.0,90000.0
Dagoretti,250.0,3.0,3.0,90000.0
Dagoretti,3.0,3.0,3.0,90000.0
Dagoretti,2.0,2.0,3.0,90000.0
Dagoretti,3.0,3.0,2.0,90000.0
Dagoretti,3.0,3.0,2.0,90000.0
Dagoretti,3.0,3.0,2.0,90000.0
Dagoretti,3.0,3.0,3.0,90000.0
Dagoretti,3.0,3.0,3.0,90000.0
Dagoretti,3.0,3.0,2.0,85000.0
Dagoretti,3.0,3.0,2.0,85000.0
Dagoretti,3.0,3.0,2.0,85000.0
Dagoretti,3.0,3.0,3.0,110000.0
Dagoretti,167.0,2.0,2.0,110000.0
Dagoretti,3.0,3.0,3.0,110000.0
Dagoretti,2.0,2.0,2.0,110000.0
Dagoretti,1.0,1.0,1.0,110000.0
Dagoretti,3.0,3.0,4.0,110000.0
Dagoretti,3.0,3.0,4.0,110000.0
